Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition
India,Dhanbad,City Center,23.7952809,86.4309638,5.0,167.97,15.93,6.59,72.04,754.44,188.5,17.54,36,2.92,Clear
India,Dhanbad,Sector_1,23.81239,86.45755,5.0,175.03,19.94,4.97,59.58,817.13,197.45,17.57,36,2.98,Clear
India,Dhanbad,Sector_2,23.78626,86.38862,5.0,154.95,14.42,8.26,73.88,676.36,173.09,17.74,36,2.96,Clear
India,Dhanbad,Sector_3,23.78219,86.42095,5.0,167.97,15.93,6.59,72.04,754.44,188.5,17.76,36,3.0,Clear
India,Dhanbad,Sector_4,23.79315,86.44225,5.0,167.97,15.93,6.59,72.04,754.44,188.5,17.54,36,2.92,Clear
India,Amritsar,City Center,31.6356659,74.8787496,5.0,281.06,19.5,4.25,59.92,1528.15,352.06,17.39,29,1.04,Clouds
India,Amritsar,Sector_1,31.6248,74.85461,5.0,281.06,19.5,4.25,59.92,1528.15,352.06,17.45,29,1.04,Clouds
India,Amritsar,Sector_2,31.64761,74.84833,5.0,281.06,19.5,4.25,59.92,1528.15,352.06,17.45,29,1.04,Clouds
India,Amritsar,Sector_3,31.61947,74.86432,5.0,281.06,19.5,4.25,59.92,1528.15,352.06,17.51,29,1.07,Clouds
India,Amritsar,Sector_4,31.65903,74.85384,5.0,281.06,19.5,4.25,59.92,1528.15,352.06,17.48,28,1.01,Clouds
India,Navi Mumbai,City Center,19.0308262,73.0198537,5.0,176.8,3.41,29.98,219.58,687.36,196.37,28.97,42,2.57,Smoke
India,Navi Mumbai,Sector_1,18.99927,73.0072,5.0,157.92,2.56,22.53,203.23,577.08,174.89,29.05,42,2.57,Smoke
India,Navi Mumbai,Sector_2,19.03175,73.00793,5.0,176.8,3.41,29.98,219.58,687.36,196.37,29.02,42,2.57,Smoke
India,Navi Mumbai,Sector_3,19.0156,73.02335,5.0,176.8,3.41,29.98,219.58,687.36,196.37,29.05,42,2.57,Smoke
India,Navi Mumbai,Sector_4,19.05327,73.05864,5.0,176.8,3.41,29.98,219.58,687.36,196.37,28.88,48,1.36,Clear
India,Allahabad,City Center,25.4381302,81.8338005,5.0,129.19,16.58,4.8,65.23,625.68,154.4,17.62,33,1.8,Clear
India,Allahabad,Sector_1,25.44981,81.83348,5.0,129.19,16.58,4.8,65.23,625.68,154.4,17.62,33,1.8,Clear
India,Allahabad,Sector_2,25.41853,81.79074,5.0,123.7,18.96,4.79,62.58,617.08,147.97,17.67,33,1.85,Clear
India,Allahabad,Sector_3,25.40836,81.8197,5.0,129.19,16.58,4.8,65.23,625.68,154.4,17.56,33,1.83,Clear
India,Allahabad,Sector_4,25.43751,81.84872,5.0,129.19,16.58,4.8,65.23,625.68,154.4,17.49,33,1.8,Clear
India,Howrah,City Center,22.5736296,88.3251045,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.97,64,2.57,Haze
India,Howrah,Sector_1,22.58508,88.3315,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.97,64,2.57,Haze
India,Howrah,Sector_2,22.58521,88.31796,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.98,64,2.57,Haze
India,Howrah,Sector_3,22.54695,88.29259,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.99,64,2.57,Haze
India,Howrah,Sector_4,22.57295,88.30085,5.0,251.73,7.46,29.64,178.43,962.81,270.52,21.01,64,2.57,Haze
India,Ranchi,City Center,23.3700501,85.3250387,5.0,134.49,18.17,13.43,61.13,623.36,151.17,12.92,71,1.03,Haze
India,Ranchi,Sector_1,23.36074,85.34166,5.0,134.49,18.17,13.43,61.13,623.36,151.17,13.08,71,1.03,Haze
India,Ranchi,Sector_2,23.37931,85.32798,5.0,134.49,18.17,13.43,61.13,623.36,151.17,12.94,71,1.03,Haze
India,Ranchi,Sector_3,23.35324,85.31807,5.0,134.49,18.17,13.43,61.13,623.36,151.17,13.05,71,1.03,Haze
India,Ranchi,Sector_4,23.3632,85.31697,5.0,134.49,18.17,13.43,61.13,623.36,151.17,13.01,71,1.03,Haze
India,Gwalior,City Center,26.2037247,78.1573628,5.0,142.83,8.2,5.35,95.7,499.79,177.47,17.32,36,0.24,Clear
India,Gwalior,Sector_1,26.20978,78.19321,5.0,142.83,8.2,5.35,95.7,499.79,177.47,17.36,36,0.25,Clear
India,Gwalior,Sector_2,26.21994,78.13839,5.0,142.83,8.2,5.35,95.7,499.79,177.47,17.34,36,0.44,Clear
India,Gwalior,Sector_3,26.20995,78.19367,5.0,142.83,8.2,5.35,95.7,499.79,177.47,17.36,36,0.25,Clear
India,Gwalior,Sector_4,26.19802,78.1464,5.0,135.35,9.77,7.59,88.53,472.7,166.33,16.98,36,0.33,Clear
India,Jabalpur,City Center,23.1701522,79.9324505,3.0,48.79,4.48,3.41,71.91,266.5,55.77,15.55,82,1.54,Haze
India,Jabalpur,Sector_1,23.20238,79.92042,4.0,51.77,3.57,3.26,80.84,255.38,56.99,15.64,82,1.54,Haze
India,Jabalpur,Sector_2,23.16263,79.91679,3.0,48.79,4.48,3.41,71.91,266.5,55.77,15.6,82,1.54,Haze
India,Jabalpur,Sector_3,23.17752,79.90923,3.0,48.79,4.48,3.41,71.91,266.5,55.77,15.64,82,1.54,Haze
India,Jabalpur,Sector_4,23.18786,79.95291,3.0,48.79,4.48,3.41,71.91,266.5,55.77,15.28,82,1.54,Haze
India,Coimbatore,City Center,11.0018115,76.9628425,3.0,39.51,22.09,6.94,57.82,595.09,52.32,26.88,50,2.06,Haze
India,Coimbatore,Sector_1,11.0286,76.99302,3.0,39.51,22.09,6.94,57.82,595.09,52.32,26.92,50,2.06,Haze
India,Coimbatore,Sector_2,11.01334,76.97896,3.0,39.51,22.09,6.94,57.82,595.09,52.32,26.86,50,2.06,Haze
India,Coimbatore,Sector_3,11.02606,76.95155,3.0,39.51,22.09,6.94,57.82,595.09,52.32,26.75,50,2.06,Haze
