id,lat,lon,aqi,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,wind_deg,weather_desc,roads,industrial,farmland,dump
pt_00150,11.012529,79.125365,160.0,160.0,75.0,8.0,3.0,6.1,40.1,29.0,66.0,2.24,315.0,overcast clouds,1,0,0,0
pt_00151,11.012529,79.354156,160.0,160.0,75.0,8.0,3.0,6.1,40.1,27.84,62.0,6.89,20.0,overcast clouds,0,0,0,0
pt_00152,11.012529,79.582947,160.0,160.0,75.0,8.0,3.0,6.1,40.1,27.19,63.0,6.76,17.0,overcast clouds,10,0,1,0
pt_00153,11.012529,79.811738,160.0,160.0,75.0,8.0,3.0,6.1,40.1,26.5,68.0,7.94,12.0,broken clouds,9,0,0,0
pt_00154,11.237107,75.928291,74.0,74.0,44.0,7.9,3.1,4.4,13.8,29.53,54.0,1.54,330.0,haze,27,0,0,0
pt_00155,11.237107,76.157258,74.0,74.0,44.0,7.9,3.1,4.4,13.8,29.52,35.0,0.69,247.0,overcast clouds,0,0,0,0
pt_00156,11.237107,76.386225,74.0,74.0,44.0,7.9,3.1,4.4,13.8,29.64,39.0,2.21,248.0,overcast clouds,1,0,0,0
pt_00157,11.237107,76.615193,64.0,64.0,46.0,1.2,6.4,,2.1,19.16,44.0,1.51,165.0,broken clouds,0,0,0,0
pt_00158,11.237107,76.84416,64.0,64.0,46.0,1.2,6.4,,2.1,25.32,51.0,3.2,104.0,broken clouds,1,0,0,0
pt_00159,11.237107,77.073127,157.0,157.0,85.0,3.9,1.0,4.6,1.2,29.05,54.0,2.4,71.0,overcast clouds,48,0,0,0
pt_00160,11.237107,77.302095,157.0,157.0,85.0,3.9,1.0,4.6,1.2,25.74,49.0,3.59,60.0,overcast clouds,12,0,0,0
pt_00161,11.237107,77.531062,157.0,157.0,85.0,3.9,1.0,4.6,1.2,25.9,51.0,4.51,48.0,broken clouds,8,0,0,0
pt_00162,11.237107,77.760029,157.0,157.0,85.0,3.9,1.0,4.6,1.2,26.69,51.0,3.48,29.0,broken clouds,15,0,0,0
pt_00163,11.237107,77.988996,157.0,157.0,85.0,3.9,1.0,4.6,1.2,28.7,52.0,2.72,24.0,overcast clouds,0,0,0,0
pt_00164,11.237107,78.217964,157.0,157.0,85.0,3.9,1.0,4.6,1.2,28.62,52.0,5.81,18.0,scattered clouds,10,0,0,0
pt_00165,11.237107,78.446931,60.0,,60.0,1.5,9.1,4.9,,24.55,56.0,2.1,44.0,scattered clouds,10,0,2,0
pt_00166,11.237107,78.675898,60.0,,60.0,1.5,9.1,4.9,,23.0,60.0,4.56,35.0,broken clouds,1,0,0,0
