city,country,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp
Texas City,US,29.3852338,-94.9315197,7.63,Good,11.19,Good,163.48,Unhealthy,2.98,Good,2.69,Good,76.96,Unhealthy,2,12.52,65,4.63,30,2025-12-11T14:49:47
Freeport,US,28.96443,-95.35483,9.67,Good,16.43,Good,164.29,Unhealthy,2.32,Good,2.54,Good,80.22,Unhealthy,2,13.33,70,4.47,20,2025-12-11T14:49:47
Airstream,US,29.8586111,-95.1602778,7.62,Good,9.96,Good,189.43,Unhealthy,9.61,Good,4.06,Good,55.13,Moderate,1,11.02,64,0.89,62,2025-12-11T14:49:47
Beach,US,30.3503017,-95.4251278,6.47,Good,8.83,Good,193.16,Unhealthy,10.81,Good,2.63,Good,47.07,Good,1,10.36,58,2.28,86,2025-12-11T14:49:47
La Marque,US,29.4057,-94.94712,7.41,Good,10.46,Good,169.46,Unhealthy,4.77,Good,3.16,Good,70.92,Unhealthy,2,12.43,68,4.63,30,2025-12-11T14:49:47
Channelview,US,29.8027073,-95.1254948,7.62,Good,9.96,Good,189.43,Unhealthy,9.61,Good,4.06,Good,55.13,Moderate,1,11.13,68,0.89,62,2025-12-11T14:49:47
Bellaire,US,29.7216,-95.49265,8.24,Good,10.86,Good,189.49,Unhealthy,8.19,Good,3.31,Good,56.12,Moderate,1,11.06,60,5.14,90,2025-12-11T14:49:47
Channelview,US,29.7616528,-95.0813861,7.73,Good,10.38,Good,182.29,Unhealthy,7.68,Good,3.72,Good,61.39,Moderate,2,11.59,63,2.89,67,2025-12-11T14:49:47
Crosby,US,29.9208333,-95.0683333,7.62,Good,9.96,Good,189.43,Unhealthy,9.61,Good,4.06,Good,55.13,Moderate,1,10.72,72,0.89,62,2025-12-11T14:49:47
Aldine,US,29.9011,-95.3261,8.27,Good,10.9,Good,197.27,Unhealthy,10.79,Good,3.99,Good,51.64,Good,1,10.81,63,1.79,51,2025-12-11T14:49:47
Bellaire,US,29.6958,-95.4992,8.24,Good,10.86,Good,189.49,Unhealthy,8.19,Good,3.31,Good,56.12,Moderate,1,11.06,60,5.14,90,2025-12-11T14:49:47
