location_id,city,latitude,longitude,temperature,humidity,wind_speed,wind_deg,timestamp
245583753,Mandapam,9.282701,79.1526713,25.47,78,8.4,49,1766499058
245583914,Sattur,9.3516337,77.9211286,25.06,62,3.76,48,1766499058
245584040,Rajapalayam,9.4456102,77.5542849,23.79,65,1.84,324,1766499058
245584065,Devipattinam,9.4749165,78.8967566,25.22,76,6.58,61,1766499058
245584105,Alappuzha,9.4923271,76.3291487,25.84,72,3.12,295,1766499058
245584138,Aruppukkottai,9.5073229,78.0958971,24.92,63,3.5,52,1766499058
245584469,Virudhunagar,9.58224,77.9537,24.56,64,3.58,50,1766499058
245584800,Thondi,9.7422651,79.0175877,25.22,74,6.57,54,1766499058
245584837,Painavu,9.8540061,76.9446486,17.49,72,1.7,85,1766499058
245585550,Usilampatti,9.9648653,77.7898611,22.92,67,1.07,80,1766499058
245585625,Muvattupuzha,9.9831493,76.5781613,27.85,84,0.74,92,1766499058
245585698,Theni,10.0108143,77.4810104,21.73,64,1.88,342,1766499058
245585726,Melur,10.0309005,78.337589,23.22,71,3.37,48,1766498492
245586161,Angamaly,10.1910284,76.3874109,27.89,54,2.06,260,1766499058
245586200,Natham,10.2256894,78.2299964,22.1,74,2.04,52,1766499058
245586306,Chinnalapatti,10.2767592,77.9218398,21.44,74,1.14,16,1766498820
245586375,Dindigul,10.365646,77.9693256,21.85,72,1.07,78,1766498761
245586401,Thuvarankurichchi,10.3758009,78.3872851,22.24,74,2.15,62,1766499058
245586442,Muthupet,10.3956923,79.4944659,22.8,82,4.34,47,1766499058
245586675,Vedasandur,10.5324146,77.9463173,22.49,68,1.6,116,1766499058
245586959,Udumalapettai,10.5839,77.25,20.74,69,1.82,152,1766499058
245587128,Orathanadu,10.6296502,79.2515516,21.75,81,3.27,60,1766499058
245587450,Kilvelur,10.7690209,79.7421122,22.44,85,4.0,38,1766499058
245587589,Thanjavur,10.7860267,79.1381497,23.95,81,3.44,70,1766499058
245587903,Lalgudi,10.877163,78.8138944,25.16,73,2.06,90,1766498675
245588416,Kodavasal,10.8552828,79.4809565,21.63,85,3.49,50,1766499058
245588792,Musiri,10.951573,78.4419808,23.17,66,3.19,76,1766499058
245588836,Karur,10.9596041,78.0807797,23.59,63,2.63,125,1766499058
