location_id,city,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
245702187,Akaltara,124,1,0,0,0,13.65,2382.28,,,
245700317,Khandwa,1330,2,1,0,0,46.56,1526.25,705.06,,
245701571,Baripada,424,0,1,0,0,67.17,,79.17,,
245701646,Amla,209,1,3,0,0,3.13,1018.48,1945.42,,
245702363,Karjan,193,1,0,0,0,105.54,1492.14,,,
245702738,Sundargarh,219,0,0,0,0,18.89,,,,
245701960,Amod,5,1,0,0,0,0.0,949.6,,,
245703270,Maheshwar,91,0,4,0,0,41.18,,713.48,,
245703098,Diamond Harbour,117,0,0,0,0,4.54,,,,
245702899,Rajgangpur,16,1,0,0,0,105.63,193.38,,,
245702560,Bilaspur,1451,1,0,0,0,53.1,1533.26,,,
245702699,Baihar,64,0,6,0,0,50.0,,285.01,,
245703195,Khirkiya,7,0,0,0,0,100.26,,,,
245703174,Gharghoda,34,0,0,0,0,32.81,,,,
245704131,Khambhat,97,1,0,0,0,5.36,2081.4,,,
245703327,Kalavad,475,0,0,0,0,12.62,,,,
245703375,Dharmapuri,33,0,0,0,0,32.14,,,,
245703654,Barwaha,282,2,0,0,0,6.11,1748.8,,,
245702731,Kasrawad,12,0,0,0,0,63.7,,,,
245703277,Jamai,17,0,0,0,0,72.04,,,,
245702919,Barwala,57,1,0,0,0,79.68,593.1,,,
245702303,Champua,19,0,0,0,0,93.28,,,,
245703581,Padra,402,0,0,0,0,6.18,,,,
245704549,Ranpur,14,1,0,0,0,107.01,409.89,,,
245704620,Timarni,20,0,0,0,0,71.68,,,,
245702016,Kawardha,60,0,0,0,0,26.42,,,,
