location_id,city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
7101915156,Naigaon,18.8491322,77.5310969,90.01,Satisfactory,96.26,Satisfactory,384.59,Very Poor,14.22,Good,11.17,Good,95.02,Satisfactory,5,19.79,37,2.67,46,1766499091,5.0,0.0,0.0,0.0,0.0,187.75,,,,
7112831729,Lalganj,25.8024606,82.9987693,185.51,Moderate,202.12,Poor,852.78,Severe,10.49,Good,4.51,Good,88.71,Satisfactory,5,16.97,48,2.43,260,1766499091,56.0,0.0,0.0,0.0,0.0,7.46,,,,
7121782710,Kot Ise Khan,30.9430954,75.13724,109.17,Moderate,139.09,Moderate,917.53,Severe,15.39,Good,4.05,Good,86.52,Satisfactory,5,15.92,43,2.94,302,1766499091,355.0,0.0,0.0,0.0,0.0,56.54,,,,
7124278387,Usoor,18.4856635,80.750091,173.99,Moderate,185.14,Moderate,570.05,Severe,14.01,Good,7.38,Good,90.58,Satisfactory,5,18.06,55,1.06,263,1766499091,3.0,0.0,0.0,0.0,0.0,130.96,,,,
7124472581,Shankargarh,23.3017829,83.6026954,193.83,Moderate,207.59,Poor,579.15,Severe,21.14,Good,21.03,Good,77.05,Satisfactory,5,12.38,51,0.88,88,1766499091,17.0,0.0,0.0,0.0,0.0,137.09,,,,
7124619493,Orcha,19.3640693,81.1809396,154.97,Moderate,161.49,Moderate,380.89,Very Poor,4.49,Good,2.32,Good,68.73,Satisfactory,5,15.45,41,1.61,359,1766499091,11.0,0.0,0.0,0.0,0.0,137.1,,,,
7137292722,Irinjalakuda,10.3454442,76.215806,79.97,Satisfactory,87.64,Satisfactory,259.48,Poor,0.81,Good,2.95,Good,138.26,Moderate,5,27.93,77,1.36,321,1766499091,487.0,3.0,16.0,0.0,0.0,59.58,1086.29,160.29,,
7139943400,Attur,10.2877695,77.8520822,48.62,Good,59.73,Satisfactory,352.17,Very Poor,14.73,Good,5.54,Good,76.2,Satisfactory,3,21.23,76,1.32,347,1766499091,159.0,0.0,0.0,0.0,0.0,0.89,,,,
7142430765,Karambakudi,10.4587359,79.1377187,27.2,Good,34.2,Good,204.39,Poor,5.91,Good,4.79,Good,89.8,Satisfactory,3,22.66,77,3.49,65,1766499091,60.0,0.0,0.0,0.0,0.0,71.39,,,,
7142430766,Peravurani,10.28721,79.2008579,23.6,Good,30.64,Good,180.94,Moderate,3.44,Good,3.34,Good,92.63,Satisfactory,2,23.26,75,4.12,58,1766499091,97.0,0.0,0.0,0.0,0.0,29.74,,,,
7146433621,Kalimela,18.0729813,81.7491174,174.79,Moderate,187.21,Moderate,531.18,Severe,9.52,Good,6.23,Good,96.6,Satisfactory,5,18.7,46,1.01,153,1766499091,62.0,0.0,0.0,0.0,0.0,12.45,,,,
7147155997,Bellaguntha,19.881396,84.6379062,226.34,Poor,238.29,Poor,667.92,Severe,6.53,Good,4.06,Good,114.98,Moderate,5,18.75,62,0.73,166,1766499091,25.0,0.0,0.0,0.0,0.0,81.3,,,,
7148037360,Gada Sarai,22.8225936,81.3291052,93.18,Satisfactory,100.12,Moderate,410.02,Severe,9.4,Good,5.56,Good,74.07,Satisfactory,5,13.17,53,1.48,17,1766499091,1.0,0.0,0.0,0.0,0.0,45.7,,,,
7148148513,Burla,21.5020693,83.8788557,294.92,Poor,312.51,Very Poor,703.01,Severe,7.94,Good,15.19,Good,125.69,Moderate,5,17.57,44,0.89,193,1766499091,363.0,0.0,0.0,0.0,0.0,14.61,,,,
7150918787,Basudebpur,21.1245769,86.7389917,269.41,Poor,289.53,Poor,894.49,Severe,13.13,Good,12.74,Good,127.55,Moderate,5,18.7,56,1.42,142,1766499091,185.0,0.0,0.0,0.0,0.0,65.14,,,,
7154647119,Canning,22.310373,88.6578971,249.42,Poor,265.33,Poor,765.19,Severe,4.08,Good,26.37,Good,195.76,Moderate,5,21.19,35,1.68,320,1766498978,377.0,0.0,0.0,0.0,0.0,2.17,,,,
7154718363,Rajpur Sonarpur,22.4408748,88.4246368,313.24,Very Poor,333.51,Very Poor,958.07,Severe,6.38,Good,28.73,Good,192.3,Moderate,5,17.99,26,2.33,326,1766499091,1625.0,0.0,0.0,0.0,0.0,8.68,,,,
7155865070,Deganga,22.6869441,88.6542821,333.45,Very Poor,358.87,Very Poor,1099.06,Severe,9.18,Good,28.2,Good,176.87,Moderate,5,21.68,31,2.47,334,1766499091,359.0,0.0,0.0,0.0,0.0,23.63,,,,
7156007426,Domjur,22.6362732,88.2198286,396.57,Very Poor,420.92,Severe,1174.95,Severe,8.51,Good,32.59,Good,199.2,Moderate,5,17.98,28,1.84,317,1766499091,40.0,0.0,0.0,0.0,0.0,89.93,,,,
7156071803,Guma,22.8086638,88.6025047,356.99,Very Poor,395.43,Very Poor,1406.42,Severe,22.84,Good,30.93,Good,147.26,Moderate,5,17.97,30,2.29,329,1766499091,317.0,0.0,0.0,0.0,0.0,31.32,,,,
7156071805,Hugli-Chuchura,22.8992251,88.3921337,391.78,Very Poor,422.6,Severe,1343.8,Severe,16.36,Good,31.05,Good,168.44,Moderate,5,18.88,76,1.9,326,1766499091,1935.0,3.0,1.0,0.0,0.0,27.61,1887.13,1821.17,,
