City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Alzano Lombardo,0,0,0,0,0,0,0
Alzenau,440,7,35,0,0,13,71
Alzey,460,3,47,1,3,18,100
Am Timan,492,11,21,0,0,0,18
Amadeo,227,1,1,0,0,0,0
Amadora,0,0,0,0,0,0,0
Amaga,225,0,0,0,0,0,0
Amagasaki,2777,63,110,0,0,3,49
Amagi,0,0,0,0,0,0,0
Amahai,2,0,0,0,0,0,0
Amaigbo,53,0,0,0,0,0,0
Amalapuram,604,2,27,0,0,0,0
Amalias,0,0,0,0,0,0,0
Amalner,0,0,0,0,0,0,0
Amambai,0,0,0,0,0,0,0
Amancio,319,14,5,0,0,0,0
Amanganj,31,0,0,0,0,0,0
Amangarh,2,0,0,0,0,0,0
Amanpur,0,0,0,0,0,0,0
Amantea,0,0,0,0,0,0,0
Amaraji,254,0,0,0,0,0,1
Amarante Do Maranhao,0,0,0,0,0,0,0
Amargosa,585,0,0,0,0,0,0
Amarillo,0,0,0,0,0,0,0
Amarousion,0,0,0,0,0,0,0
Amarpatan,0,0,0,0,0,0,0
Amarpur,2,0,0,0,0,0,0
Amarwara,0,0,0,0,0,0,0
Amasya,722,2,1,0,0,0,14
Amatitlan,0,0,0,0,0,0,0
Amay,411,9,28,0,0,6,153
Ambad,473,1,1,0,0,0,1
Ambah,0,0,0,0,0,0,0
Ambahta,0,0,0,0,0,0,0
Ambajogai,0,0,0,0,0,0,0
Ambala,2095,3,0,0,0,0,0
Ambalavao,137,0,4,0,0,0,5
Ambanja,119,0,2,0,0,0,9
Ambarawa,929,1,16,0,0,0,9
Ambarnath,0,0,0,0,0,0,0
Ambasamudram,253,4,0,0,0,0,0
Ambato,0,0,0,0,0,0,0
Ambatofinandrahana,0,0,0,0,0,0,0
Ambatolampy,18,0,0,0,0,0,0
Ambatondrazaka,0,0,0,0,0,0,0
Ambattur,2085,11,0,0,0,0,0
Amberg,0,0,0,0,0,0,0
Amberieu En Bugey,401,2,2,0,0,30,35
Ambikapur,0,0,0,0,0,0,0
Ambilobe,0,0,0,0,0,0,0
Amboasary,0,0,0,0,0,0,0
Ambodifototra,28,0,1,0,0,0,1
Amboise,778,7,57,0,0,11,124
Ambon,0,0,0,0,0,0,0
Ambositra,3,0,0,0,0,0,1
Ambovombe,104,0,0,0,0,0,3
Ambulu,262,0,0,0,0,0,1
Ambur,838,0,0,0,0,0,1
Ameca,0,0,0,0,0,0,0
Amecameca,0,0,0,0,0,0,4
Amelia,36,1,1,0,0,0,0
America Dourada,118,0,4,0,0,0,0
American Canyon,410,7,0,0,0,0,6
American Fork,0,0,0,0,0,0,0
Americana,0,0,0,0,0,0,0
Americo Brasiliense,492,2,17,0,0,0,12
Americus,350,2,0,0,0,0,0
Amersfoort,2026,6,6,0,147,167,469
Amersham,0,0,0,0,0,0,0
Ames,92,0,16,1,0,0,53
Amesbury,383,7,14,0,0,1,8
Amet,211,18,0,1,1,0,44
Amethi,0,0,0,0,0,0,0
Amherst,0,0,0,0,0,0,0
Amherst Center,457,1,0,0,0,0,4
Amherstburg,356,9,0,0,0,0,26
Ami,0,0,0,0,0,0,0
Amiens,2123,5,7,0,2,149,27
Amilly,135,0,5,0,0,0,4
Amla,201,1,2,0,0,0,3
Amlagora,266,0,0,0,0,0,1
Amlame,67,0,0,0,0,0,9
Amli,0,0,0,0,0,0,11
Amloh,292,9,0,0,0,0,1
Ammapettai,0,0,0,0,0,0,0
Ammon,392,1,7,0,0,0,0
Amnat Charoen,30,0,0,0,0,0,0
Amod,0,0,0,0,0,0,3
Amol,3594,0,3,0,0,0,26
Amontada,263,0,1,0,0,0,3
Amora,222,0,1,0,0,1,33
Amos,267,3,0,0,0,0,2
Amozoc,856,0,0,0,0,0,0
Ampanihy,39,0,0,0,0,0,0
Amparafaravola,0,0,0,0,0,0,0
Amparai,283,0,8,0,0,0,3
Amparo,851,2,0,0,0,0,68
Ampere,462,1,0,0,0,0,6
Amposta,0,0,0,0,0,0,0
Amravati,2,0,0,0,0,0,0
Amreli,6,0,0,0,0,0,0
Amriswil,396,9,68,0,3,4,151
Amritsar,2116,3,0,0,0,2,2
Amroha,1,0,0,0,0,0,0
Amroli,2167,8,0,0,0,0,0
Amstelveen,0,0,0,0,0,0,0
Amsterdam,3235,9,0,0,222,346,374
Amstetten,641,19,170,0,0,70,373
Amta,0,0,0,0,0,0,0
Amudalavalasa,345,0,0,0,0,0,0
Amungan,0,0,0,0,0,0,0
Amuntai,548,1,0,0,0,0,0
Amur,0,0,0,0,0,0,0
