city,location_id,location_name,sensor_id,pollutant,value,unit,latitude,longitude,timestamp_utc,country,source
,50,"Punjabi Bagh, Delhi - DPCC",12234794,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",1.3,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234794,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",1.5,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234794,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",2.2,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234795,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",194.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234795,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",168.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234795,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",168.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234795,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",168.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234795,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",168.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",395,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",308.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",395,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",308.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",395,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",432.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",395,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",432.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",395,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",432.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234796,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",95.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234796,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",119.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234796,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",119.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234796,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",119.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234796,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",119.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",396,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",124.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",396,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",124.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",396,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",203.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",396,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",203.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",396,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",203.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234798,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",44.2,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234798,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",41.2,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234798,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",43.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234798,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",45.6,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",12234798,"{'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': None}",47.7,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",397,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",22.6,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",397,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",24.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",397,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",24.0,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",397,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",23.7,,28.674045,77.131023,,IN,OpenAQ v3
,50,"Punjabi Bagh, Delhi - DPCC",397,"{'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': None}",21.3,,28.674045,77.131023,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13863,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",101.2,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13863,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",47.2,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13863,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",29.1,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13863,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",44.4,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13863,"{'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': None}",43.7,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13862,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",345.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13862,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",143.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13862,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",133.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13862,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",126.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13862,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",128.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13861,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",219.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13861,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",96.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13861,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",86.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13861,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",77.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,103,"Income Tax Office, Delhi - CPCB",13861,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",75.0,,28.623499999999996,77.2494,,IN,OpenAQ v3
,235,"Anand Vihar, New Delhi - DPCC",12235605,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.17,,28.646835,77.316032,,IN,OpenAQ v3
,235,"Anand Vihar, New Delhi - DPCC",12235605,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.15,,28.646835,77.316032,,IN,OpenAQ v3
,235,"Anand Vihar, New Delhi - DPCC",12235605,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.12,,28.646835,77.316032,,IN,OpenAQ v3
,235,"Anand Vihar, New Delhi - DPCC",12235605,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.05,,28.646835,77.316032,,IN,OpenAQ v3
,235,"Anand Vihar, New Delhi - DPCC",12235605,"{'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': None}",1.15,,28.646835,77.316032,,IN,OpenAQ v3
,235,"Anand Vihar, New Delhi - DPCC",385,"{'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': None}",2800.0,,28.646835,77.316032,,IN,OpenAQ v3
