State / Union Territory,City / town / village,SO2,NO2,PM10,PM2.5,Year,Location,Latitude,Longitude,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Weather Condition,AQI_PM2.5,AQI_PM10,AQI_SO2,AQI_NO2,AQI,AQI_Category,Roads_count,Industrial_zones_count,Dump_sites_count,Agricultural_fields_count,Urban_density_score,Industrial_presence,Pollution_source_risk,Green_area_ratio,dist_nearest_road_m,dist_nearest_ind_m,dist_nearest_dump_m,dist_nearest_agri_m
Haryana,Charkhi Dadri,5,28,156,79,2021,"Charkhi Dadri, Haryana, India",28.5919933,76.2719817,18.01,18,1017,1.75,289,clear sky,162.4482759,137.5436242,6.25,35,162.4482759,Moderate,398,0,0,0,0.01,0,1.19,0,106429.8032,1501579.615,280089.2677,270093.7394
Haryana,Dharuhera,18,26,187,77,2021,"Dharuhera, Haryana, India",28.2055216,76.7953099,17.42,21,1017,1.92,275,clear sky,155.6206897,158.1409396,22.5,32.5,158.1409396,Moderate,2693,13,0,1,0.08,1,8.13,0,70533.48074,1429491.661,323472.0198,324833.5904
Haryana,Faridabad,10,35,230,98,2021,"Faridabad, Haryana, India",28.4031478,77.3105561,16.14,18,1016,2.09,309,clear sky,224.8965517,186.7114094,12.5,43.75,224.8965517,Poor,10478,33,0,4,0.29,1,31.57,0,27918.42696,1422833.453,304482.0087,317065.1485
Haryana,Fatehabad,10,22,153,61,2021,"Fatehabad, Haryana, India",29.5359209,75.5752901,16.62,19,1017,0.9,331,clear sky,101,135.5503356,12.5,27.5,135.5503356,Moderate,1045,0,0,32,0.03,0,3.14,0.03,218294.0366,1644623.685,203718.2849,167328.5499
Haryana,Gurgaon,6,20,174,93,2021,"Gurgaon, Haryana, India",28.4646148,77.0299194,16.02,63,1017,0,0,haze,207.8275862,149.5033557,7.5,25,207.8275862,Poor,16356,14,0,33,0.46,1,49.12,0,28945.26017,1444731.667,292129.8469,299288.0068
Haryana,Hissar,12,30,162,92,2021,"Hissar, Haryana, India",29.8291662,76.4722641,16.11,26,1017,1.61,308,clear sky,204.4137931,141.5302013,15,37.5,204.4137931,Poor,1826,2,0,0,0.05,1,5.49,0,176438.5759,1627066.802,121367.4526,115123.2628
Haryana,Jind,10,24,145,88,2021,"Jind, Haryana, India",29.3152073,76.314082,16.44,22,1017,1.75,305,clear sky,193.1724138,130.2348993,12.5,30,193.1724138,Moderate,3886,2,0,0,0.11,1,11.67,0,135364.4451,1578139.257,189461.8375,178237.954
Haryana,Kaithal,21,17,144,58,2021,"Kaithal, Haryana, India",29.7996588,76.3989903,16.22,25,1017,1.53,310,clear sky,96.62068966,129.5704698,26.25,21.25,129.5704698,Moderate,4070,7,0,0,0.11,1,12.24,0,177226.0465,1627616.704,127418.0136,117345.0995
Haryana,Karnal,26,20,119,60,2021,"Karnal, Haryana, India",29.7255766,76.9106924,15.46,30,1017,1.97,299,clear sky,100,112.9597315,32.5,25,112.9597315,Moderate,1808,1,0,1,0.05,1,5.43,0,146144.7209,1592688.809,130988.1003,145862.1778
Haryana,Kurukshetra,10,29,142,69,2021,"Kurukshetra, Haryana, India",29.9693747,76.8482787,15.37,33,1016,2.07,311,clear sky,128.3103448,128.2416107,12.5,36.25,128.3103448,Moderate,5088,7,0,0,0.14,1,15.29,0,178188.3443,1623752.766,99141.40734,115817.3972
Haryana,Mandikhera,15,21,92,52,2021,"Mandikhera, Haryana, India",27.897075,76.9922014,17.76,21,1017,1.9,282,clear sky,86.48275862,92,18.75,26.25,92,Satisfactory,16,0,0,0,0,0,0.05,0,94181.53707,1384851.929,363210.9011,367453.9687
Haryana,Manesar,8,9,164,96,2021,"Manesar, Haryana, India",28.3247096,76.9263787,17.49,21,1017,1.91,296,clear sky,218.0689655,142.8590604,10,11.25,218.0689655,Poor,2967,21,0,59,0.08,1,8.98,0.02,49566.7817,1435068.695,308887.5585,313268.5208
Haryana,Narnaul,7,25,175,69,2021,"Narnaul, Haryana, India",28.0438456,76.1062015,17.82,17,1017,1.39,252,clear sky,128.3103448,150.1677852,8.75,31.25,150.1677852,Moderate,660,3,0,1,0.02,1,1.99,0,144103.6777,1453376.152,351712.4319,339737.1104
Haryana,Palwal,10,11,127,37,2021,"Palwal, Haryana, India",28.0599426,77.3223422,17.55,22,1016,2.46,304,clear sky,61.13793103,118.2751678,12.5,13.75,118.2751678,Moderate,1488,2,0,13,0.04,1,4.47,0.01,70584.5454,1384200.624,347325.9269,358080.5688
Haryana,Panchukula Urban Estate,10,23,,49,2021,"Panchukula Urban Estate, Haryana, India",30.6942,76.8606,14.81,40,1016,1.72,26,clear sky,81.4137931,,12.5,28.75,81.4137931,Satisfactory,8521,5,0,11,0.24,1,25.58,0,269707.9286,1707241.009,11398.43513,68644.47934
Haryana,Panipat,39,15,196,61,2021,"Panipat, Haryana, India",29.3912753,76.9771675,15.86,26,1017,2.03,309,clear sky,101,164.1208054,48.75,18.75,164.1208054,Moderate,8137,26,0,0,0.23,1,24.52,0,102890.0093,1551245.763,174362.8501,187092.4387
